M0,H,T,Loss
DFM [A],4,8,-1.5455105773599237e-05
DFM [A],4,9,0.0019067218868186004
DFM [A],4,10,0.0044948272932056
DFM [A],4,11,0.006025440075001401
DFM [A],4,12,0.0013291875861330005
DFM [A],4,13,0.0037815248245009997
DFM [A],4,14,0.0016051710085190005
DFM [A],4,15,0.0021156862767128005
DFM [A],4,16,0.0024733163119117
DFM [A],4,17,0.0014697028954779
DFM [A],4,18,-0.0009803585304088997
DFM [A],4,19,-0.0032793355017015
DFM [A],4,20,-0.0010524417174989
DFM [A],4,21,-0.0019893783719718006
DFM [A],4,22,0.0012525469221503
DFM [A],4,23,0.0035821933553682
DFM [A],5,0,0.0047904866305266
DFM [A],5,1,-0.0016169789470742001
DFM [A],5,2,-0.0005513930620090002
DFM [A],5,3,0.0107938867325182
DFM [A],5,4,-0.005558530667908199
DFM [A],5,5,-0.004101739839724201
DFM [A],5,6,0.0030910328177437005
DFM [A],5,7,-0.00010159553700660011
DFM [A],5,8,0.0019357795901698005
DFM [A],5,9,0.004134390905404101
DFM [A],5,10,0.0057489947152907
DFM [A],5,11,0.0012076210967872005
DFM [A],5,12,0.003944374889234499
DFM [A],5,13,0.0006936372240090999
DFM [A],5,14,0.0023867730893900006
DFM [A],5,15,0.0024317589550945
DFM [A],5,16,0.0014417974019926994
DFM [A],5,17,-0.0003188317557201994
DFM [A],5,18,-0.0032086371369756004
DFM [A],5,19,-0.0016725116875394002
DFM [A],5,20,-0.0020640100217453007
DFM [A],5,21,0.0012622556806141999
DFM [A],5,22,0.0035627664577040996
DFM [A],5,23,-0.0003143092497777996
DFM [A],6,0,-0.0016805234357753999
DFM [A],6,1,-0.0008591578132734999
DFM [A],6,2,0.010004236787091999
DFM [A],6,3,-0.005734970108464
DFM [A],6,4,-0.004641820676731901
